@RELATION locomotion_low
@ATTRIBUTE UNIQUE_ID NUMERIC
@ATTRIBUTE atlas_rx REAL
@ATTRIBUTE atlas_ry REAL
@ATTRIBUTE atlas_rz REAL
@ATTRIBUTE atlas_vqw REAL
@ATTRIBUTE atlas_vqx REAL
@ATTRIBUTE atlas_vqy REAL
@ATTRIBUTE atlas_vqz REAL
@ATTRIBUTE upper_spine_rx REAL
@ATTRIBUTE upper_spine_ry REAL
@ATTRIBUTE upper_spine_rz REAL
@ATTRIBUTE upper_spine_vqw REAL
@ATTRIBUTE upper_spine_vqx REAL
@ATTRIBUTE upper_spine_vqy REAL
@ATTRIBUTE upper_spine_vqz REAL
@ATTRIBUTE right_shoulder_rx REAL
@ATTRIBUTE right_shoulder_ry REAL
@ATTRIBUTE right_shoulder_rz REAL
@ATTRIBUTE right_shoulder_vqw REAL
@ATTRIBUTE right_shoulder_vqx REAL
@ATTRIBUTE right_shoulder_vqy REAL
@ATTRIBUTE right_shoulder_vqz REAL
@ATTRIBUTE right_elbow_rx REAL
@ATTRIBUTE right_elbow_ry REAL
@ATTRIBUTE right_elbow_rz REAL
@ATTRIBUTE right_elbow_vqw REAL
@ATTRIBUTE right_elbow_vqx REAL
@ATTRIBUTE right_elbow_vqy REAL
@ATTRIBUTE right_elbow_vqz REAL
@ATTRIBUTE right_wrist_rx REAL
@ATTRIBUTE right_wrist_ry REAL
@ATTRIBUTE right_wrist_rz REAL
@ATTRIBUTE right_wrist_vqw REAL
@ATTRIBUTE right_wrist_vqx REAL
@ATTRIBUTE right_wrist_vqy REAL
@ATTRIBUTE right_wrist_vqz REAL
@ATTRIBUTE left_shoulder_rx REAL
@ATTRIBUTE left_shoulder_ry REAL
@ATTRIBUTE left_shoulder_rz REAL
@ATTRIBUTE left_shoulder_vqw REAL
@ATTRIBUTE left_shoulder_vqx REAL
@ATTRIBUTE left_shoulder_vqy REAL
@ATTRIBUTE left_shoulder_vqz REAL
@ATTRIBUTE left_elbow_rx REAL
@ATTRIBUTE left_elbow_ry REAL
@ATTRIBUTE left_elbow_rz REAL
@ATTRIBUTE left_elbow_vqw REAL
@ATTRIBUTE left_elbow_vqx REAL
@ATTRIBUTE left_elbow_vqy REAL
@ATTRIBUTE left_elbow_vqz REAL
@ATTRIBUTE left_wrist_rx REAL
@ATTRIBUTE left_wrist_ry REAL
@ATTRIBUTE left_wrist_rz REAL
@ATTRIBUTE left_wrist_vqw REAL
@ATTRIBUTE left_wrist_vqx REAL
@ATTRIBUTE left_wrist_vqy REAL
@ATTRIBUTE left_wrist_vqz REAL
@ATTRIBUTE mid_spine_rx REAL
@ATTRIBUTE mid_spine_ry REAL
@ATTRIBUTE mid_spine_rz REAL
@ATTRIBUTE mid_spine_vqw REAL
@ATTRIBUTE mid_spine_vqx REAL
@ATTRIBUTE mid_spine_vqy REAL
@ATTRIBUTE mid_spine_vqz REAL
@ATTRIBUTE sacrum_rx REAL
@ATTRIBUTE sacrum_ry REAL
@ATTRIBUTE sacrum_rz REAL
@ATTRIBUTE sacrum_vqw REAL
@ATTRIBUTE sacrum_vqx REAL
@ATTRIBUTE sacrum_vqy REAL
@ATTRIBUTE sacrum_vqz REAL
@ATTRIBUTE right_hip_rx REAL
@ATTRIBUTE right_hip_ry REAL
@ATTRIBUTE right_hip_rz REAL
@ATTRIBUTE right_hip_vqw REAL
@ATTRIBUTE right_hip_vqx REAL
@ATTRIBUTE right_hip_vqy REAL
@ATTRIBUTE right_hip_vqz REAL
@ATTRIBUTE right_knee_rx REAL
@ATTRIBUTE right_knee_ry REAL
@ATTRIBUTE right_knee_rz REAL
@ATTRIBUTE right_knee_vqw REAL
@ATTRIBUTE right_knee_vqx REAL
@ATTRIBUTE right_knee_vqy REAL
@ATTRIBUTE right_knee_vqz REAL
@ATTRIBUTE right_ankle_rx REAL
@ATTRIBUTE right_ankle_ry REAL
@ATTRIBUTE right_ankle_rz REAL
@ATTRIBUTE right_ankle_vqw REAL
@ATTRIBUTE right_ankle_vqx REAL
@ATTRIBUTE right_ankle_vqy REAL
@ATTRIBUTE right_ankle_vqz REAL
@ATTRIBUTE left_hip_rx REAL
@ATTRIBUTE left_hip_ry REAL
@ATTRIBUTE left_hip_rz REAL
@ATTRIBUTE left_hip_vqw REAL
@ATTRIBUTE left_hip_vqx REAL
@ATTRIBUTE left_hip_vqy REAL
@ATTRIBUTE left_hip_vqz REAL
@ATTRIBUTE left_knee_rx REAL
@ATTRIBUTE left_knee_ry REAL
@ATTRIBUTE left_knee_rz REAL
@ATTRIBUTE left_knee_vqw REAL
@ATTRIBUTE left_knee_vqx REAL
@ATTRIBUTE left_knee_vqy REAL
@ATTRIBUTE left_knee_vqz REAL
@ATTRIBUTE left_ankle_rx REAL
@ATTRIBUTE left_ankle_ry REAL
@ATTRIBUTE left_ankle_rz REAL
@ATTRIBUTE left_ankle_vqw REAL
@ATTRIBUTE left_ankle_vqx REAL
@ATTRIBUTE left_ankle_vqy REAL
@ATTRIBUTE left_ankle_vqz REAL
@ATTRIBUTE class {running,walking,jumping}
@DATA
0,0.041203,0.0251697,-0.0793428,1.0,0.0,0.0,0.0,0.0269791,0.000555315,-0.00192199,1.0,0.0,0.0,0.0,-0.0565771,-0.0118157,-0.0234977,1.0,0.0,0.0,0.0,-0.162001,-0.0142826,0.0188674,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.479791,-0.0364786,-0.350837,1.0,0.0,0.0,0.0,0.670171,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0750986,-0.0300952,0.449939,1.0,0.0,0.0,0.0,1.44444,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.05312e-16,-8.32667e-17,1.0,0.0,0.0,0.0,-0.812992,-0.183479,1.58951,1.0,0.0,0.0,0.0,1.88639,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.05312e-16,-8.32667e-17,1.0,0.0,0.0,0.0,-0.73785,0.33717,-1.58181,1.0,0.0,0.0,0.0,1.38263,0.0,0.0,1.0,0.0,0.0,0.0,running
1,0.0353515,0.0309047,-0.0757249,0.0,-0.690015,0.671086,0.459997,0.0294376,-0.00466045,-0.000942415,0.0,0.294775,-0.628958,0.0998493,-0.0504147,-0.00861737,-0.0272111,0.0,0.744041,0.359428,-0.465466,-0.172548,-0.00991307,0.0202285,0.0,-1.26759,0.544218,0.0737505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.463511,-0.0486657,-0.357576,0.0,1.98804,-1.66988,-0.0552331,0.711841,0.0,0.0,0.0,5.00038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0308373,-0.0524053,0.428016,0.0,-5.20242,-2.53437,-2.76685,1.51997,0.0,0.0,0.0,9.06371,0.0,0.0,0.0,-1.33574e-16,-4.16334e-17,0.0,3.57502e-33,-4.38886e-16,4.16333e-17,-0.764763,-0.192862,1.5946,0.0,5.67295,-0.366987,1.2225,1.89248,0.0,0.0,0.0,0.73095,0.0,0.0,0.0,-1.33574e-16,-4.16334e-17,0.0,3.57502e-33,-4.38886e-16,4.16333e-17,-0.743842,0.317797,-1.57496,0.0,-0.454566,-1.19011,2.14335,1.34107,0.0,0.0,0.0,-4.98802,0.0,0.0,running
2,0.0284232,0.0339081,-0.0709506,0.0,-0.812826,0.341964,0.583823,0.0316716,-0.00844387,-0.00249947,0.0,0.269307,-0.44809,-0.200625,-0.045366,-0.0054792,-0.0272408,0.0,0.605871,0.375979,-0.0215833,-0.184715,-0.00559931,0.021652,0.0,-1.46137,0.539768,0.0761185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.437203,-0.0571452,-0.365922,0.0,3.20981,-1.35147,-0.457516,0.734813,0.0,0.0,0.0,2.75663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0165232,-0.0703891,0.405972,0.0,-5.52057,-2.13921,-2.65589,1.5931,0.0,0.0,0.0,8.77615,0.0,0.0,0.0,-2.68882e-16,-6.93889e-17,0.0,5.58517e-33,-1.35308e-16,-2.77555e-17,-0.712873,-0.209438,1.59602,0.0,6.19283,-1.35878,1.46239,1.89667,0.0,0.0,0.0,0.502653,0.0,0.0,0.0,-2.68882e-16,-6.93889e-17,0.0,5.58517e-33,-1.35308e-16,-2.77555e-17,-0.749387,0.289847,-1.5672,0.0,-0.386817,-1.85844,2.92992,1.30746,0.0,0.0,0.0,-4.03234,0.0,0.0,running
3,0.0258708,0.0357663,-0.0514493,0.0,-0.224767,0.159419,2.34392,0.0283316,-0.0141091,-0.00642562,0.0,-0.39549,-0.66539,-0.49129,-0.0201195,2.03626e-05,-0.0339645,0.0,3.03177,0.633194,-0.828037,-0.200727,0.00202247,0.0283799,0.0,-1.92282,1.05232,0.617233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.411742,-0.0638253,-0.389788,0.0,3.22827,-1.9078,-2.2749,0.751317,0.0,0.0,0.0,1.98046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0691592,-0.0865998,0.368223,0.0,-5.96022,-2.13689,-4.42907,1.66129,0.0,0.0,0.0,8.18237,0.0,0.0,0.0,2.08167e-17,1.249e-16,0.0,-2.40982e-32,2.89699e-16,1.94289e-16,-0.67121,-0.223336,1.59808,0.0,4.94622,-1.12963,1.25078,1.90176,0.0,0.0,0.0,0.611544,0.0,0.0,0.0,2.08167e-17,1.249e-16,0.0,-2.40982e-32,2.89699e-16,1.94289e-16,-0.767451,0.262548,-1.56009,0.0,-1.93487,-1.8134,2.84901,1.2859,0.0,0.0,0.0,-2.58806,0.0,0.0,running
4,0.0279675,0.0349706,-0.0223167,0.0,0.375201,-0.189479,3.4899,0.0286033,-0.0199111,-0.0123297,0.0,0.0446606,-0.675788,-0.727923,-0.00747326,0.0065657,-0.042596,0.0,1.51412,0.771077,-1.04652,-0.212555,0.011217,0.0356977,0.0,-1.41355,1.26003,0.633069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.387749,-0.0665103,-0.423778,0.0,3.14451,-1.88087,-3.62401,0.761108,0.0,0.0,0.0,1.17496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13018,-0.100178,0.320765,0.0,-6.78992,-2.18543,-5.48059,1.72649,0.0,0.0,0.0,7.82423,0.0,0.0,0.0,-6.59195e-17,1.94288e-16,0.0,-1.5648e-33,-8.67362e-17,6.93882e-17,-0.616426,-0.234675,1.59331,0.0,6.7039,-1.42299,0.371155,1.90403,0.0,0.0,0.0,0.272276,0.0,0.0,0.0,-6.59195e-17,1.94288e-16,0.0,-1.5648e-33,-8.67362e-17,6.93882e-17,-0.778223,0.237628,-1.55055,0.0,-1.00903,-1.3659,2.88249,1.2683,0.0,0.0,0.0,-2.11221,0.0,0.0,running
5,0.0350588,0.0305616,0.00182935,0.0,0.945833,-0.620045,2.87787,0.0355134,-0.0201887,-0.0210251,0.0,0.850127,0.000133998,-1.04377,-0.0271844,0.0101431,-0.0390919,0.0,-2.36182,0.436516,0.412981,-0.222707,0.0171049,0.0394521,0.0,-1.21192,0.787162,0.287298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.364407,-0.0676542,-0.451349,0.0,3.02265,-1.3401,-3.02003,0.764219,0.0,0.0,0.0,0.373221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.199266,-0.109577,0.282906,0.0,-7.81371,-1.85376,-4.27288,1.78315,0.0,0.0,0.0,6.79904,0.0,0.0,0.0,-9.02056e-17,8.32667e-17,0.0,8.66663e-33,-2.42861e-17,-1.11022e-16,-0.54629,-0.25938,1.57992,0.0,8.80896,-3.33448,0.325117,1.90562,0.0,0.0,0.0,0.190601,0.0,0.0,0.0,-9.02056e-17,8.32667e-17,0.0,8.66663e-33,-2.42861e-17,-1.11022e-16,-0.771436,0.200669,-1.5396,0.0,1.09995,-2.27213,4.01879,1.25034,0.0,0.0,0.0,-2.15469,0.0,0.0,running
6,0.0413139,0.0295797,0.0008929,0.0,0.747232,-0.113456,-0.11674,0.0409117,-0.0202495,-0.0228146,0.0,0.652138,0.000919035,-0.214816,-0.0385336,0.0139632,-0.0355799,0.0,-1.35682,0.472012,0.406118,-0.237215,0.0229638,0.0410627,0.0,-1.73698,0.728609,0.0278889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.339262,-0.0664438,-0.451564,0.0,3.01912,0.127493,-0.0741874,0.764734,0.0,0.0,0.0,0.0617981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.267503,-0.118562,0.280605,0.0,-8.15698,-1.11256,-0.0174703,1.82675,0.0,0.0,0.0,5.23181,0.0,0.0,0.0,2.42861e-17,-2.08167e-16,0.0,9.60559e-33,1.14492e-16,-2.91434e-16,-0.48591,-0.284147,1.56867,0.0,7.60735,-3.22687,0.336042,1.90548,0.0,0.0,0.0,-0.0167513,0.0,0.0,0.0,2.42861e-17,-2.08167e-16,0.0,9.60559e-33,1.14492e-16,-2.91434e-16,-0.768547,0.165099,-1.52922,0.0,0.573178,-2.21137,3.85096,1.23381,0.0,0.0,0.0,-1.98339,0.0,0.0,running
7,0.0463256,0.0318563,-0.00194479,0.0,0.590946,0.287841,-0.328068,0.0355351,-0.026174,-0.0194594,0.0,-0.654541,-0.725805,0.375057,-0.0221568,0.0200573,-0.0401054,0.0,1.95597,0.714489,-0.564921,-0.243638,0.0307089,0.0392413,0.0,-0.7766,0.850651,-0.433516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.310419,-0.0651486,-0.450293,0.0,3.45117,0.19586,0.0945844,0.76202,0.0,0.0,0.0,-0.325685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.331761,-0.126179,0.284332,0.0,-7.76546,-0.742518,0.693983,1.85841,0.0,0.0,0.0,3.79923,0.0,0.0,0.0,3.78169e-16,1.38778e-16,0.0,6.9815e-32,3.53883e-16,3.46945e-16,-0.451688,-0.292351,1.56589,0.0,4.20144,-1.02284,0.159679,1.90784,0.0,0.0,0.0,0.282726,0.0,0.0,0.0,3.78169e-16,1.38778e-16,0.0,6.9815e-32,3.53883e-16,3.46945e-16,-0.786482,0.148121,-1.5197,0.0,-1.97392,-0.660328,2.23354,1.21794,0.0,0.0,0.0,-1.90403,0.0,0.0,running
8,0.0517047,0.033837,0.00166507,0.0,0.659718,0.216194,0.444076,0.0245039,-0.0363796,-0.0156869,0.0,-1.33789,-1.23771,0.415513,0.00731736,0.0287904,-0.0480159,0.0,3.51367,1.04093,-0.956767,-0.247062,0.0410252,0.0344551,0.0,-0.431511,1.06146,-0.857484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.276455,-0.0589319,-0.456281,0.0,4.12022,0.506693,-0.902363,0.751385,0.0,0.0,0.0,-1.2761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.392207,-0.131816,0.28194,0.0,-7.21659,-0.733411,-0.0265921,1.87831,0.0,0.0,0.0,2.38762,0.0,0.0,0.0,-3.43476e-16,-1.52656e-16,0.0,-5.05546e-33,-7.21645e-16,-2.91434e-16,-0.436957,-0.288314,1.56584,0.0,1.7694,0.434908,-0.213482,1.91503,0.0,0.0,0.0,0.862901,0.0,0.0,0.0,-3.43476e-16,-1.52656e-16,0.0,-5.05546e-33,-7.21645e-16,-2.91434e-16,-0.816985,0.145004,-1.51186,0.0,-3.52299,0.408545,0.915904,1.20593,0.0,0.0,0.0,-1.442,0.0,0.0,running
9,0.0552404,0.0335355,0.00561232,0.0,0.440235,-0.0614411,0.47079,0.0407222,-0.0351059,-0.0235632,0.0,1.97996,0.183569,-0.939068,-0.0527156,0.0260085,-0.0264922,0.0,-7.13291,-0.275165,2.58917,-0.235509,0.0378923,0.0265524,0.0,1.34887,-0.591481,-0.830306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.238304,-0.0506479,-0.462664,0.0,4.62004,0.766711,-0.992689,0.735201,0.0,0.0,0.0,-1.94216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.450021,-0.133141,0.280869,0.0,-6.9207,-0.197251,-0.0513426,1.89014,0.0,0.0,0.0,1.41998,0.0,0.0,0.0,4.16334e-17,4.16334e-17,0.0,-2.93223e-32,3.85109e-16,1.94289e-16,-0.36764,-0.314681,1.53928,0.0,9.26354,-4.10375,-1.56186,1.91566,0.0,0.0,0.0,0.0753951,0.0,0.0,0.0,4.16334e-17,4.16334e-17,0.0,-2.93223e-32,3.85109e-16,1.94289e-16,-0.799609,0.104641,-1.50537,0.0,2.18184,-2.78678,4.03639,1.1982,0.0,0.0,0.0,-0.927803,0.0,0.0,running
10,0.0574227,0.0335939,0.00839413,0.0,0.273087,-0.0117783,0.333495,0.0382822,-0.0428794,-0.0231808,0.0,-0.294584,-0.933906,0.00897846,-0.0399239,0.0305202,-0.0250046,0.0,1.54005,0.549086,0.153176,-0.237508,0.0430866,0.0197028,0.0,-0.273086,0.413527,-0.944458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.192944,-0.0437741,-0.466464,0.0,5.46461,0.708371,-0.621434,0.710949,0.0,0.0,0.0,-2.91015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.499042,-0.13321,0.282263,0.0,-5.90474,0.0683782,0.151354,1.88415,0.0,0.0,0.0,-0.718361,0.0,0.0,0.0,-2.08167e-16,-8.32667e-17,0.0,1.04e-32,-2.49801e-16,-1.249e-16,-0.351181,-0.313501,1.53216,0.0,2.23901,-0.153321,-0.810586,1.92335,0.0,0.0,0.0,0.923648,0.0,0.0,0.0,-2.08167e-16,-8.32667e-17,0.0,1.04e-32,-2.49801e-16,-1.249e-16,-0.820041,0.098166,-1.50048,0.0,-2.39244,-0.112716,0.965589,1.20063,0.0,0.0,0.0,0.29196,0.0,0.0,running
11,0.0605648,0.0375115,0.0139053,0.0,0.400559,0.430321,0.687491,0.0362632,-0.0519426,-0.0208654,0.0,-0.255444,-1.09716,0.23681,-0.0397342,0.0349192,-0.0261367,0.0,0.0183218,0.522048,-0.156682,-0.228748,0.0481784,0.0131081,0.0,1.01507,0.411853,-0.910328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.150733,-0.040913,-0.470961,0.0,5.08818,0.246087,-0.590056,0.686871,0.0,0.0,0.0,-2.88945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.547599,-0.135404,0.282803,0.0,-5.83549,-0.195998,0.18714,1.87253,0.0,0.0,0.0,-1.39488,0.0,0.0,0.0,-1.249e-16,6.93889e-17,0.0,-2.54223e-32,8.3267e-17,1.52656e-16,-0.335093,-0.314617,1.52682,0.0,2.12872,-0.331247,-0.529376,1.93499,0.0,0.0,0.0,1.39695,0.0,0.0,0.0,-1.249e-16,6.93889e-17,0.0,-2.54223e-32,8.3267e-17,1.52656e-16,-0.836878,0.0979095,-1.49449,0.0,-1.95009,0.506336,0.506262,1.20379,0.0,0.0,0.0,0.379508,0.0,0.0,running
12,0.0643789,0.0427093,0.0211864,0.0,0.492721,0.568009,0.910265,0.0349764,-0.0596876,-0.0199962,0.0,-0.160238,-0.932527,0.0709745,-0.0513919,0.038267,-0.0229814,0.0,-1.38508,0.418565,0.359682,-0.215054,0.052111,0.00670542,0.0,1.60475,0.291458,-0.852402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.107073,-0.0373539,-0.476271,0.0,5.26418,0.341737,-0.686293,0.659064,0.0,0.0,0.0,-3.33679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.59174,-0.136313,0.281358,0.0,-5.27345,-0.184555,-0.085855,1.85263,0.0,0.0,0.0,-2.3876,0.0,0.0,0.0,-1.04083e-17,-9.71445e-17,0.0,1.12667e-32,1.14492e-16,-1.66533e-16,-0.318374,-0.323635,1.51952,0.0,2.281,-1.29186,-0.440341,1.94604,0.0,0.0,0.0,1.32574,0.0,0.0,0.0,-1.04083e-17,-9.71445e-17,0.0,1.12667e-32,1.14492e-16,-1.66533e-16,-0.852222,0.0940654,-1.48919,0.0,-1.78027,0.166585,0.764935,1.20993,0.0,0.0,0.0,0.736607,0.0,0.0,running
