@RELATION locomotion_mid
@ATTRIBUTE UNIQUE_ID NUMERIC
@ATTRIBUTE atlas_x REAL
@ATTRIBUTE atlas_y REAL
@ATTRIBUTE atlas_z REAL
@ATTRIBUTE atlas_qw REAL
@ATTRIBUTE atlas_qx REAL
@ATTRIBUTE atlas_qy REAL
@ATTRIBUTE atlas_qz REAL
@ATTRIBUTE upper_spine_x REAL
@ATTRIBUTE upper_spine_y REAL
@ATTRIBUTE upper_spine_z REAL
@ATTRIBUTE upper_spine_qw REAL
@ATTRIBUTE upper_spine_qx REAL
@ATTRIBUTE upper_spine_qy REAL
@ATTRIBUTE upper_spine_qz REAL
@ATTRIBUTE right_shoulder_x REAL
@ATTRIBUTE right_shoulder_y REAL
@ATTRIBUTE right_shoulder_z REAL
@ATTRIBUTE right_shoulder_qw REAL
@ATTRIBUTE right_shoulder_qx REAL
@ATTRIBUTE right_shoulder_qy REAL
@ATTRIBUTE right_shoulder_qz REAL
@ATTRIBUTE right_elbow_x REAL
@ATTRIBUTE right_elbow_y REAL
@ATTRIBUTE right_elbow_z REAL
@ATTRIBUTE right_elbow_qw REAL
@ATTRIBUTE right_elbow_qx REAL
@ATTRIBUTE right_elbow_qy REAL
@ATTRIBUTE right_elbow_qz REAL
@ATTRIBUTE right_wrist_x REAL
@ATTRIBUTE right_wrist_y REAL
@ATTRIBUTE right_wrist_z REAL
@ATTRIBUTE right_wrist_qw REAL
@ATTRIBUTE right_wrist_qx REAL
@ATTRIBUTE right_wrist_qy REAL
@ATTRIBUTE right_wrist_qz REAL
@ATTRIBUTE left_shoulder_x REAL
@ATTRIBUTE left_shoulder_y REAL
@ATTRIBUTE left_shoulder_z REAL
@ATTRIBUTE left_shoulder_qw REAL
@ATTRIBUTE left_shoulder_qx REAL
@ATTRIBUTE left_shoulder_qy REAL
@ATTRIBUTE left_shoulder_qz REAL
@ATTRIBUTE left_elbow_x REAL
@ATTRIBUTE left_elbow_y REAL
@ATTRIBUTE left_elbow_z REAL
@ATTRIBUTE left_elbow_qw REAL
@ATTRIBUTE left_elbow_qx REAL
@ATTRIBUTE left_elbow_qy REAL
@ATTRIBUTE left_elbow_qz REAL
@ATTRIBUTE left_wrist_x REAL
@ATTRIBUTE left_wrist_y REAL
@ATTRIBUTE left_wrist_z REAL
@ATTRIBUTE left_wrist_qw REAL
@ATTRIBUTE left_wrist_qx REAL
@ATTRIBUTE left_wrist_qy REAL
@ATTRIBUTE left_wrist_qz REAL
@ATTRIBUTE mid_spine_x REAL
@ATTRIBUTE mid_spine_y REAL
@ATTRIBUTE mid_spine_z REAL
@ATTRIBUTE mid_spine_qw REAL
@ATTRIBUTE mid_spine_qx REAL
@ATTRIBUTE mid_spine_qy REAL
@ATTRIBUTE mid_spine_qz REAL
@ATTRIBUTE sacrum_x REAL
@ATTRIBUTE sacrum_y REAL
@ATTRIBUTE sacrum_z REAL
@ATTRIBUTE sacrum_qw REAL
@ATTRIBUTE sacrum_qx REAL
@ATTRIBUTE sacrum_qy REAL
@ATTRIBUTE sacrum_qz REAL
@ATTRIBUTE right_hip_x REAL
@ATTRIBUTE right_hip_y REAL
@ATTRIBUTE right_hip_z REAL
@ATTRIBUTE right_hip_qw REAL
@ATTRIBUTE right_hip_qx REAL
@ATTRIBUTE right_hip_qy REAL
@ATTRIBUTE right_hip_qz REAL
@ATTRIBUTE right_knee_x REAL
@ATTRIBUTE right_knee_y REAL
@ATTRIBUTE right_knee_z REAL
@ATTRIBUTE right_knee_qw REAL
@ATTRIBUTE right_knee_qx REAL
@ATTRIBUTE right_knee_qy REAL
@ATTRIBUTE right_knee_qz REAL
@ATTRIBUTE right_ankle_x REAL
@ATTRIBUTE right_ankle_y REAL
@ATTRIBUTE right_ankle_z REAL
@ATTRIBUTE right_ankle_qw REAL
@ATTRIBUTE right_ankle_qx REAL
@ATTRIBUTE right_ankle_qy REAL
@ATTRIBUTE right_ankle_qz REAL
@ATTRIBUTE left_hip_x REAL
@ATTRIBUTE left_hip_y REAL
@ATTRIBUTE left_hip_z REAL
@ATTRIBUTE left_hip_qw REAL
@ATTRIBUTE left_hip_qx REAL
@ATTRIBUTE left_hip_qy REAL
@ATTRIBUTE left_hip_qz REAL
@ATTRIBUTE left_knee_x REAL
@ATTRIBUTE left_knee_y REAL
@ATTRIBUTE left_knee_z REAL
@ATTRIBUTE left_knee_qw REAL
@ATTRIBUTE left_knee_qx REAL
@ATTRIBUTE left_knee_qy REAL
@ATTRIBUTE left_knee_qz REAL
@ATTRIBUTE left_ankle_x REAL
@ATTRIBUTE left_ankle_y REAL
@ATTRIBUTE left_ankle_z REAL
@ATTRIBUTE left_ankle_qw REAL
@ATTRIBUTE left_ankle_qx REAL
@ATTRIBUTE left_ankle_qy REAL
@ATTRIBUTE left_ankle_qz REAL
@ATTRIBUTE class {running,walking,jumping}
@DATA
0,-0.307087,17.6356,-28.2214,0.998932,0.0200832,0.0133889,-0.0393904,-0.0988759,21.4173,-27.2912,0.999909,0.0134889,0.000290595,-0.000957163,0.210837,25.0616,-26.4017,0.999515,-0.028213,-0.00623736,-0.0115766,0.402444,26.7765,-26.3629,0.996646,-0.0809736,-0.00635423,0.00998016,1.12547,15.6333,-27.7004,1.0,0.0,0.0,0.0,0.526185,8.83079,-24.497,0.957053,-0.230824,-0.0589035,-0.165228,-0.0739877,1.34209,-26.2681,0.944382,0.32885,0.0,0.0,-1.99688,15.8816,-27.6215,1.0,0.0,0.0,0.0,-1.84003,8.50181,-28.5012,0.974129,0.033236,-0.023031,0.222343,-1.76755,8.4431,-36.2719,0.750341,0.661051,0.0,0.0,3.29154,24.5269,-27.2077,1.0,-6.35558e-33,1.52656e-16,-4.16334e-17,3.54166,19.6709,-29.827,0.614825,-0.335847,0.222061,0.678149,2.98393,19.0289,-26.3426,0.587206,0.809437,0.0,0.0,-2.92472,25.0733,-26.881,1.0,-6.35558e-33,1.52656e-16,-4.16334e-17,-4.60363,19.9151,-29.0654,0.603569,-0.361257,-0.142708,-0.696299,-3.92381,17.7322,-26.2495,0.770407,0.637552,0.0,0.0,running
1,-0.303728,17.5624,-27.7253,0.999018,0.0170752,0.0161072,-0.0375701,-0.0883664,21.3369,-26.7697,0.999889,0.0147193,-0.00232303,-0.000505452,0.216,24.9754,-25.8535,0.999582,-0.0251435,-0.00464981,-0.0134921,0.406619,26.6904,-25.8147,0.996213,-0.0862116,-0.00406634,0.0105034,1.13961,15.5684,-27.2024,1.0,0.0,0.0,0.0,0.496261,8.73725,-24.0692,0.958461,-0.221747,-0.0641372,-0.167532,-0.10236,1.35064,-26.2272,0.937326,0.348453,0.0,0.0,-1.98312,15.8053,-27.1056,1.0,0.0,0.0,0.0,-1.96158,8.38909,-27.6143,0.976822,0.0094976,-0.0288722,0.211885,-1.77259,8.52674,-35.382,0.724847,0.68891,0.0,0.0,3.2965,24.4515,-26.6513,1.0,1.39028e-33,-6.67869e-17,-2.08167e-17,3.54547,19.4814,-29.0472,0.619467,-0.323385,0.203317,0.685817,2.9287,19.0218,-25.5439,0.584738,0.811222,0.0,0.0,-2.92268,24.9869,-26.3643,1.0,1.39028e-33,-6.67869e-17,-2.08167e-17,-4.54457,19.8488,-28.6372,0.608363,-0.357654,-0.150238,-0.692392,-3.99431,17.5267,-25.9057,0.78349,0.621404,0.0,0.0,running
2,-0.294208,17.4728,-27.2384,0.999135,0.0135989,0.0174448,-0.0352184,-0.0788898,21.238,-26.2479,0.999865,0.0158403,-0.0042016,-0.00131642,0.225177,24.8703,-25.3069,0.999647,-0.0226416,-0.00304755,-0.0135543,0.412931,26.5858,-25.2728,0.995673,-0.0922508,-0.00178914,0.0110378,1.16092,15.4895,-26.7073,1.0,0.0,0.0,0.0,0.47512,8.60363,-23.7058,0.960644,-0.208084,-0.0668641,-0.171448,-0.121948,1.31436,-26.1731,0.933262,0.359196,0.0,0.0,-1.9626,15.7115,-26.6011,1.0,0.0,0.0,0.0,-2.07888,8.27948,-26.7035,0.97877,-0.0151802,-0.0327992,0.201748,-1.77841,8.5551,-34.464,0.699176,0.714949,0.0,0.0,3.30869,24.3483,-26.1016,1.0,4.66435e-33,-1.34441e-16,-3.46944e-17,3.56684,19.2665,-28.2493,0.624556,-0.312405,0.180071,0.692754,2.88097,18.9962,-24.7391,0.583038,0.812445,0.0,0.0,-2.91115,24.8893,-25.8404,1.0,4.66435e-33,-1.34441e-16,-3.46944e-17,-4.46303,19.771,-28.2052,0.615011,-0.351401,-0.160415,-0.68742,-4.04772,17.3383,-25.5471,0.793819,0.608153,0.0,0.0,running
3,-0.295148,17.4133,-26.748,0.999432,0.0124688,0.0182075,-0.0254843,-0.0597805,21.1707,-25.7307,0.999869,0.0141876,-0.00700824,-0.00331233,0.248168,24.7967,-24.7632,0.999805,-0.0100583,-0.000160646,-0.0169807,0.431646,26.5124,-24.7211,0.994869,-0.100171,0.00242776,0.0140168,1.1996,15.4602,-26.2151,1.0,0.0,0.0,0.0,0.469235,8.51406,-23.3668,0.961125,-0.194399,-0.0702105,-0.183077,-0.13204,1.32576,-26.1135,0.930266,0.366885,0.0,0.0,-1.92745,15.6213,-26.103,1.0,0.0,0.0,0.0,-2.20048,8.19933,-25.7869,0.981317,-0.0418764,-0.0362059,0.184263,-1.78978,8.55748,-33.539,0.6744,0.738366,0.0,0.0,3.32617,24.2824,-25.5753,1.0,6.50003e-34,1.04084e-17,6.24501e-17,3.59416,19.1033,-27.4751,0.628083,-0.303659,0.161185,0.698085,2.83709,19.0214,-23.9701,0.580966,0.813928,0.0,0.0,-2.89552,24.8235,-25.3632,1.0,6.50003e-34,1.04084e-17,6.24501e-17,-4.37201,19.7343,-27.8364,0.619045,-0.349215,-0.174754,-0.681391,-4.08899,17.2185,-25.2389,0.800331,0.599558,0.0,0.0,running
4,-0.308864,17.3487,-26.2763,0.99969,0.0137852,0.0176376,-0.0109108,-0.0414052,21.0985,-25.2396,0.999828,0.0143616,-0.009866,-0.00630627,0.271636,24.7143,-24.2363,0.999761,-0.00380566,0.0032025,-0.0213084,0.451383,26.4302,-24.186,0.994194,-0.105959,0.00746915,0.0171521,1.24155,15.4388,-25.746,1.0,0.0,0.0,0.0,0.46777,8.42816,-23.0726,0.960136,-0.181388,-0.0723923,-0.19999,-0.145387,1.34063,-26.0673,0.928459,0.371435,0.0,0.0,-1.88895,15.5086,-25.6365,1.0,0.0,0.0,0.0,-2.33226,8.12765,-24.8725,0.98332,-0.0721073,-0.0389464,0.162373,-1.81184,8.50842,-32.6169,0.649974,0.759956,0.0,0.0,3.34204,24.2106,-25.0431,1.0,-3.20185e-33,-3.29598e-17,9.71442e-17,3.62065,18.9403,-26.6709,0.636184,-0.290381,0.137429,0.701472,2.80323,19.0484,-23.1802,0.580042,0.814587,0.0,0.0,-2.8815,24.7494,-24.8866,1.0,-3.20185e-33,-3.29598e-17,9.71442e-17,-4.2834,19.6945,-27.471,0.624706,-0.345807,-0.185319,-0.675143,-4.1241,17.1045,-24.9366,0.805577,0.592491,0.0,0.0,running
5,-0.321877,17.2953,-25.8061,0.999729,0.0175404,0.0152618,0.00118227,-0.0315068,21.0347,-24.7429,0.999734,0.01786,-0.00990541,-0.0106894,0.294077,24.6382,-23.7015,0.999702,-0.0136881,0.00480445,-0.0196116,0.465975,26.3553,-23.6687,0.993596,-0.11093,0.0106896,0.0186517,1.27145,15.4193,-25.2821,1.0,0.0,0.0,0.0,0.458864,8.33586,-22.8204,0.959333,-0.169059,-0.0729396,-0.213961,-0.151164,1.35067,-26.0472,0.92788,0.372878,0.0,0.0,-1.86028,15.4135,-25.1864,1.0,0.0,0.0,0.0,-2.45201,8.10564,-23.96,0.982856,-0.106009,-0.0399431,0.145464,-1.83418,8.42278,-31.7001,0.628187,0.778062,0.0,0.0,3.36733,24.1255,-24.4859,1.0,-1.87778e-33,-4.51028e-17,4.16334e-17,3.66443,18.78,-25.8426,0.647307,-0.276742,0.102353,0.702802,2.78327,19.0694,-22.3778,0.579395,0.815047,0.0,0.0,-2.85343,24.6918,-24.3166,1.0,-1.87778e-33,-4.51028e-17,4.16334e-17,-4.17532,19.6668,-26.9997,0.635719,-0.333382,-0.193892,-0.668673,-4.13421,17.0088,-24.532,0.810864,0.585235,0.0,0.0,running
6,-0.323313,17.2551,-25.332,0.999677,0.0206598,0.0147769,0.000751786,-0.0387268,20.9877,-24.247,0.999672,0.0205675,-0.00988848,-0.0116112,0.292017,24.5789,-23.1668,0.999629,-0.0193862,0.00663644,-0.0179198,0.45628,26.297,-23.1511,0.992728,-0.118063,0.0138277,0.019026,1.26739,15.374,-24.8182,1.0,0.0,0.0,0.0,0.445989,8.21731,-22.5818,0.961356,-0.157114,-0.0696805,-0.215068,-0.159087,1.33882,-26.0311,0.927784,0.373117,0.0,0.0,-1.86443,15.3712,-24.7255,1.0,0.0,0.0,0.0,-2.53103,8.15955,-23.0502,0.978501,-0.140022,-0.0395243,0.146173,-1.84892,8.32655,-30.7896,0.611078,0.79157,0.0,0.0,3.37021,24.0625,-23.9374,1.0,-1.26389e-33,1.2143e-17,-1.04084e-16,3.6862,18.6622,-25.0513,0.656085,-0.265655,0.0709309,0.702815,2.73154,19.104,-21.6223,0.579452,0.815006,0.0,0.0,-2.84878,24.647,-23.7648,1.0,-1.26389e-33,1.2143e-17,-1.04084e-16,-4.08533,19.6511,-26.5412,0.645346,-0.322534,-0.203468,-0.661892,-4.15769,16.9318,-24.1419,0.815672,0.578514,0.0,0.0,running
7,-0.317224,17.2292,-24.8591,0.999605,0.0231423,0.0159457,-0.000603117,-0.0428471,20.9572,-23.7525,0.999707,0.0178916,-0.0129111,-0.00995966,0.271011,24.5467,-22.6599,0.999685,-0.0112765,0.00980374,-0.0201602,0.43502,26.2647,-22.6343,0.992318,-0.121181,0.0176209,0.0176063,1.269,15.3408,-24.3584,1.0,0.0,0.0,0.0,0.442975,8.11315,-22.365,0.963657,-0.143422,-0.0658581,-0.215541,-0.170749,1.34598,-26.0264,0.92829,0.371858,0.0,0.0,-1.8626,15.3469,-24.2586,1.0,0.0,0.0,0.0,-2.56862,8.25067,-22.16,0.972906,-0.17194,-0.038206,0.14977,-1.86206,8.20094,-29.8988,0.598471,0.801144,0.0,0.0,3.35245,24.0445,-23.4173,1.0,1.31204e-32,1.89085e-16,6.9389e-17,3.68005,18.6047,-24.3146,0.660464,-0.257169,0.0556439,0.703247,2.6591,19.1885,-20.9262,0.578491,0.815688,0.0,0.0,-2.86998,24.6102,-23.3249,1.0,1.31204e-32,1.89085e-16,6.9389e-17,-4.03039,19.6473,-26.1919,0.648241,-0.324101,-0.213672,-0.655047,-4.20591,16.8685,-23.8673,0.820236,0.572025,0.0,0.0,running
8,-0.310115,17.2254,-24.3693,0.999522,0.0258598,0.0168905,0.00126945,-0.0417286,20.9521,-23.2503,0.999727,0.0123919,-0.0180908,-0.00806434,0.244218,24.5458,-22.1632,0.999603,0.00331169,0.0144783,-0.0239504,0.413168,26.2629,-22.1188,0.992067,-0.122822,0.022474,0.0145649,1.28356,15.3398,-23.8819,1.0,0.0,0.0,0.0,0.455995,8.04002,-22.1722,0.965297,-0.127559,-0.059574,-0.219958,-0.191503,1.38298,-26.0247,0.930254,0.366917,0.0,0.0,-1.84783,15.3346,-23.7759,1.0,0.0,0.0,0.0,-2.58589,8.36824,-21.289,0.967192,-0.201573,-0.0366394,0.150217,-1.87516,8.04291,-29.0209,0.590472,0.807058,0.0,0.0,3.33063,24.0623,-22.8962,1.0,1.31084e-32,-1.71738e-16,-7.63279e-17,3.6705,18.5972,-23.6184,0.662865,-0.250968,0.0518832,0.703515,2.59124,19.3114,-20.2732,0.575555,0.817763,0.0,0.0,-2.89502,24.5971,-22.9463,1.0,1.31084e-32,-1.71738e-16,-7.63279e-17,-3.98764,19.6755,-25.9095,0.646272,-0.333878,-0.223396,-0.648808,-4.25662,16.8429,-23.6599,0.823658,0.567086,0.0,0.0,running
9,-0.303804,17.2134,-23.8716,0.999473,0.0276597,0.016683,0.00326773,-0.0562956,20.9353,-22.7418,0.999565,0.0205619,-0.0173074,-0.0121344,0.229465,24.5227,-21.638,0.999476,-0.0265224,0.0126492,-0.0135827,0.392541,26.2409,-21.6214,0.992839,-0.117202,0.0203716,0.010956,1.29695,15.3322,-23.3904,1.0,0.0,0.0,0.0,0.464433,7.9681,-21.9862,0.966841,-0.109902,-0.0517171,-0.224646,-0.218067,1.4148,-26.0069,0.933192,0.359377,0.0,0.0,-1.83444,15.3147,-23.2853,1.0,0.0,0.0,0.0,-2.58506,8.49478,-20.4243,0.96098,-0.229507,-0.0330448,0.150838,-1.88815,7.84199,-28.1366,0.585686,0.810538,0.0,0.0,3.3435,24.0044,-22.3018,1.0,4.33336e-34,2.08167e-17,2.08167e-17,3.70859,18.519,-22.8318,0.677408,-0.23685,0.0149917,0.696273,2.57787,19.3456,-19.5298,0.575298,0.817944,0.0,0.0,-2.87768,24.5911,-22.3004,1.0,4.33336e-34,2.08167e-17,2.08167e-17,-3.88623,19.7048,-25.3506,0.657463,-0.31663,-0.230561,-0.643685,-4.2383,16.8323,-23.1641,0.825844,0.563898,0.0,0.0,running
